2026-08-24 10:01:05,SUCCESSFUL_LOGIN,jsmith,192.168.1.10
2026-08-24 10:03:22,FAILED_LOGIN,admin,192.168.1.20
2026-08-24 10:05:11,SUCCESSFUL_LOGIN,agarwal,192.168.1.30
2026-08-24 10:08:44,FAILED_LOGIN,root,192.168.1.50
2026-08-24 10:10:30,SUCCESSFUL_LOGIN,ckumar,192.168.1.40
2026-08-24 10:12:15,FAILED_LOGIN,admin,192.168.1.50
2026-08-24 10:14:02,FAILED_LOGIN,administrator,192.168.1.50
2026-08-24 10:15:33,SUCCESSFUL_LOGIN,bthomas,192.168.1.60
2026-08-24 10:17:48,FAILED_LOGIN,admin,10.0.0.15
2026-08-24 10:19:22,FAILED_LOGIN,root,10.0.0.15
2026-08-24 10:20:05,FAILED_LOGIN,admin,10.0.0.15
2026-08-24 10:21:11,FAILED_LOGIN,test,10.0.0.15
2026-08-24 10:22:30,FAILED_LOGIN,administrator,10.0.0.15
2026-08-24 10:25:00,SUCCESSFUL_LOGIN,jsmith,192.168.1.10
2026-08-24 10:30:17,FAILED_LOGIN,admin,172.16.0.8
2026-08-24 10:32:45,FAILED_LOGIN,root,172.16.0.8
2026-08-24 10:34:12,FAILED_LOGIN,admin,172.16.0.8
2026-08-24 10:40:55,SUCCESSFUL_LOGIN,admin,192.168.1.10
2026-08-24 10:45:30,FAILED_LOGIN,guest,192.168.1.20
2026-08-24 10:50:02,SUCCESSFUL_LOGIN,agarwal,192.168.1.30
2026-08-24 11:01:18,FAILED_LOGIN,admin,10.0.0.25
2026-08-24 11:05:33,FAILED_LOGIN,root,10.0.0.25
2026-08-24 11:10:45,SUCCESSFUL_LOGIN,ckumar,192.168.1.40
